±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ,¹ß»ýÀÏ½Ã_³â,¹ß»ýÀÏ½Ã_¿ù,¹ß»ýÀÏ½Ã_ÀÏ,°èÀý
28.7,24,180,1.9,0,2015,6,3,¿©¸§
34.5,55,320,1.2,0,2018,7,29,¿©¸§
15.1,67,200,3.9,0,2016,4,11,º½
13.7,23,200,3,0,2016,3,18,º½
22.5,29,230,4.1,0,2018,4,21,º½
17.9,26,250,5.2,0,2017,4,29,º½
10.4,97,0,0.1,0,2013,5,6,º½
5.3,47,0,0.3,0,2011,4,13,º½
10,23,180,1.5,0,2015,3,9,º½
15.1,42,20,0.8,0,2017,4,13,º½
6.6,59,320,0.5,0,2017,3,14,º½
11.9,22,250,2.6,0,2017,3,12,º½
-9.5,32,250,3.5,0,2016,1,25,°Ü¿ï
5.4,93,0,0.1,0,2013,3,9,º½
6.5,27,270,3.4,0,2011,3,9,º½
2.7,90,0,0,0,2010,11,22,°¡À»
21.9,28,200,1.1,0,2010,5,10,º½
9.5,46,70,0.7,0,2007,3,1,º½
12.8,89,340,0.8,0,2006,5,22,º½
22.2,36,140,1.9,0,2019,5,2,º½
12.5,37,180,1.7,0,2018,3,14,º½
16.3,88,360,0.5,0,2017,6,3,¿©¸§
1.7,36,230,1.4,0,2015,3,7,º½
13.9,31,70,3.5,0,2019,3,12,º½
28.2,65,320,1.1,0,2018,8,1,¿©¸§
23.4,48,250,4.3,0,2017,5,7,º½
-17.3,49,270,1,0,2016,1,26,°Ü¿ï
16,17,230,3.3,0,2015,3,30,º½
1.5,32,270,2.7,0,2015,2,1,°Ü¿ï
18.6,41,180,1.9,0,2013,5,6,º½
24.5,52,230,1.2,0,2012,6,19,¿©¸§
21.6,45,230,1.5,0,2011,10,13,°¡À»
25.4,51,230,2.4,0,2011,6,15,¿©¸§
18.8,19,230,2.3,0,2011,4,16,º½
11.7,30,20,0.9,0,2011,4,5,º½
9.9,55,70,0.5,0,2010,11,26,°¡À»
16.5,31,200,1.1,0,2010,4,11,º½
24.5,16,230,2.1,0,2009,4,10,º½
15.1,29,250,1.5,0,2009,4,5,º½
10.3,34,230,1.4,0,2009,4,3,º½
27.2,18,320,2.6,0,2008,4,18,º½
12,29,180,1.3,0,2006,11,12,°¡À»
8.1,18,290,1.1,0,2005,11,17,°¡À»
33.5,58,290,1.6,0,2018,8,17,¿©¸§
19.7,22,250,1.8,0,2005,4,26,º½
11.4,22,230,3.1,0,2013,3,27,º½
4.7,22,110,1.5,0,2019,1,27,°Ü¿ï
20,39,20,1.3,0,2019,5,7,º½
1.9,40,180,2,0,2019,1,20,°Ü¿ï
8.3,63,50,5.8,0,2018,3,22,º½
12.5,30,200,3.4,0,2019,2,27,°Ü¿ï
-1,26,200,1.9,0,2016,2,4,°Ü¿ï
27.5,28,250,1.1,0,2015,6,3,¿©¸§
33.3,57,230,2.6,0,2018,7,29,¿©¸§
15.6,55,230,2,0,2016,4,11,º½
10.2,26,140,1.5,0,2016,3,18,º½
22,14,230,2.9,0,2018,4,21,º½
19,17,270,4.2,0,2017,4,29,º½
10.2,93,0,0.3,0,2013,5,6,º½
8.4,94,0,0.1,0,2011,4,13,º½
8.2,32,340,1.4,0,2015,3,9,º½
15.5,19,250,1.9,0,2017,4,13,º½
9.4,26,110,0.9,0,2017,3,14,º½
8.4,41,320,4.8,0,2017,3,12,º½
-2.8,28,250,1.4,0,2016,1,25,°Ü¿ï
