발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2010,4,4,11:11,일,2010,4,4,12:05,강원,강원,홍천,서면,굴업,산24,쓰,쓰레기소각,,0.2,127.679526,37.6209476,강원도 홍천군 서면 굴업리 산24
2009,5,9,10:20,토,2009,5,9,11:40,북부,강원,홍천,두촌,장남,산92-3,입,입산자실화추정,,0.2,,,
2007,2,5,8:50,월,2007,2,5,10:50,강원,강원,홍천,두촌,괘석,산76-2,입,입산자실화,,0.2,128.118656,37.8933145,강원도 홍천군 두촌면 괘석리 산76-2
2005,5,29,17:20,일,2005,5,29,17:50,북부,강원,홍천,화촌,풍천,산77,입,입산자실화추정,,0.2,,,
2004,10,28,15:10,목,2004,10,28,17:10,강원,강원,홍천,화촌,장평,산133,입,입산자실화추정,,0.2,128.078924,37.7613412,강원도 홍천군 화촌면 장평리 산133
2004,10,12,16:45,화,2004,10,12,18:20,북부,강원,홍천,내촌,서곡,Jan-53,입,입산자실화추정,,0.2,,,
2018,6,24,17:30,일,2018,6,24,20:00,북부,강원,홍천,내촌,화상대,산46-1,입,기타(직접입력),입산자 실화,0.15,,,
2006,10,7,12:04,공,2006,10,7,12:40,강원,강원,홍천,홍천,장전평,산248,성,성묘객실화,,0.12,127.855154,37.6430431,강원도 홍천군 홍천읍 장전평리 산248
2017,4,28,14:00,금,2017,4,28,20:00,북부,강원,홍천,내,광원,산197-1,입,기타(직접입력),입산자 실화,0.1,,,
2016,6,10,12:55,금,2016,6,10,14:35,강원,강원,홍천,내촌,도관,산277-1,쓰,쓰레기소각,,0.1,128.081057,37.8307012,강원도 홍천군 내촌면 도관리 산277-1
2016,3,17,12:30,목,2016,3,17,13:50,강원,강원,홍천,서,굴업,산84-4,쓰,쓰레기소각,,0.1,127.693579,37.6095318,강원도 홍천군 서면 굴업리 산84-4
2015,11,1,16:40,일,2015,11,1,18:05,강원,강원,홍천,내,방내,산281,입,입산자 실화추정,,0.1,128.245588,37.8240418,강원도 홍천군 내면 방내리 산281
2015,6,22,14:40,월,2015,6,22,17:30,북부,강원,홍천,화촌,내삼포,산51,기,낙뢰,,0.1,,,
2015,3,25,13:21,수,2015,3,25,15:27,북부,강원,홍천,서석,생곡,산41-2,담,담뱃불 실화,,0.1,,,
2015,3,20,14:43,금,2015,3,20,16:00,강원,강원,홍천,동,월운,산70,건,주택화재 비화,,0.1,127.927303,37.6292279,강원도 홍천군 동면 월운리 산70
2014,5,4,18:42,일,2014,5,4,21:17,강원,강원,홍천,동,속초,산17,입,등산객실화,,0.1,127.989305,37.6739613,강원도 홍천군 동면 속초리 산17
2014,4,13,14:20,일,2014,4,13,16:10,강원,강원,홍천,북방,북방,산808,쓰,쓰레기 소각,,0.1,,,
2013,5,4,12:33,토,2013,5,4,13:30,강원,강원,홍천,홍천,하오안,산17-2,입,입산자실화,,0.1,127.863438,37.6736152,강원도 홍천군 홍천읍 하오안리 산17-2
2013,4,19,11:09,금,2013,4,19,11:50,강원,강원,홍천,남,신대,산240,입,입산자실화추정,,0.1,127.793952,37.6018098,강원도 홍천군 남면 신대리 산240
2013,4,18,18:40,목,2013,4,19,7:30,강원,강원,홍천,서,팔봉,산225,입,입산자실화추정,,0.1,127.694939,37.6960971,강원도 홍천군 서면 팔봉리 산225
2013,3,27,16:02,수,2013,3,27,18:40,강원,강원,홍천,홍천,희망,산52,담,담뱃불실화,,0.1,127.880119,37.697259,강원도 홍천군 홍천읍 희망리 산52
2012,5,30,8:00,수,2012,5,30,14:05,북부,강원,홍천,동,후동,149-1,기,낙뢰,,0.1,,,
2012,5,30,5:30,수,2012,5,30,17:30,북부,강원,홍천,화촌,장평,산64,기,낙뢰,,0.1,,,
2012,5,28,17:19,공,2012,5,28,20:10,북부,강원,홍천,화촌,성산,산89,기,낙뢰,,0.1,,,
2011,12,28,3:20,수,2011,12,28,8:30,북부,강원,홍천,홍천,장전평,산202-2,입,수렵인 실화,,0.1,,,
2010,10,24,18:38,일,2010,10,24,23:00,북부,강원,홍천,서석,생곡,산41-2,입,입산자실화,,0.1,,,
2010,6,10,11:49,목,2010,6,10,13:20,강원,강원,홍천,내촌,서곡,산19,논,농산폐기물소각,,0.1,128.127993,37.8166758,강원도 홍천군 내촌면 서곡리 산19
2010,4,8,12:45,목,2010,4,8,13:50,강원,강원,홍천,서,마곡,산124-1,기,작업장용접실화,,0.1,127.568623,37.7177107,강원도 홍천군 서면 마곡리 산124-1
2009,10,29,17:00,목,2009,10,29,18:29,강원,강원,홍천,동,좌운,산244-1,입,입산자실화추정,,0.1,128.022499,37.6388663,강원도 홍천군 동면 좌운리 산244-1
2009,9,17,12:20,목,2009,9,17,13:35,북부,강원,홍천,화촌,군업,산222,입,입산자(약초꾼)실화추정,,0.1,,,
2009,4,13,15:00,월,2009,4,13,15:30,강원,강원,홍천,홍천,삼마치,산156,논,논밭두렁소각,,0.1,127.88881,37.6368394,강원도 홍천군 홍천읍 삼마치리 산156
2009,1,13,16:55,화,2009,1,13,17:30,강원,강원,홍천,홍천,희망,산63-5,입,입산자실화추정,,0.1,127.881201,37.7063054,강원도 홍천군 홍천읍 희망리 산63-5
2008,4,20,15:05,일,2008,4,20,15:50,북부,강원,홍천,내촌,화상대,산276-1,입,입산자실화,,0.1,,,
2008,4,19,21:35,토,2008,4,19,22:35,강원,강원,홍천,북방,장항,산125,담,담뱃불실화추정,,0.1,127.77596,37.6969351,강원도 홍천군 북방면 장항리 산125
2008,3,21,13:20,금,2008,3,21,13:45,강원,강원,홍천,홍천,와동,산65,기,낚시꾼실화추정,,0.1,127.933332,37.7191937,강원도 홍천군 홍천읍 와동리 산65
2008,2,22,14:20,금,2008,2,22,14:40,강원,강원,홍천,내촌,물걸,산95,담,담뱃불실화,,0.1,128.158312,37.7902736,강원도 홍천군 내촌면 물걸리 산95
2005,4,22,12:45,금,2005,4,22,13:20,강원,강원,홍천,홍천,갈마곡,산45-2,입,입산자실화추정,,0.1,127.893291,37.7007729,강원도 홍천군 홍천읍 갈마곡리 산45-2
2005,2,11,13:58,금,2005,2,11,14:38,강원,강원,홍천,두촌,장남,산92-2,입,입산자실화추정,,0.1,128.006656,37.9359912,강원도 홍천군 두촌면 장남리 산92-2
