발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2004,2,18,16:05,수,2004,2,18,16:15,경북,경북,안동,와룡,지내,산41,기,경운기화재,,0.2,128.773319,36.6360082,경상북도 안동시 와룡면 지내리 산41
2003,3,31,6:37,월,2003,3,31,8:10,경북,경북,안동,남선,구미,산30-5,입,입산자실화추정,,0.2,128.771757,36.5148269,경상북도 안동시 남선면 구미리 산30-5
2019,4,15,17:10,월,2019,4,15,18:28,경북,경북,안동,임동,위,산23-9,기,기타(직접입력),원인미상(조사중),0.15,,,
2019,2,17,12:28,일,2019,2,17,15:00,경북,경북,안동,북후,물한,산70-1,건,기타(직접입력),건축물(계사하우스)화재 비화,0.15,128.716113,36.6481443,경상북도 안동시 북후면 물한리 산70-1
2019,3,23,14:49,토,2019,3,23,16:30,경북,경북,안동,북후,석탑,산14,쓰,쓰레기소각,,0.1,128.627403,36.7042066,경상북도 안동시 북후면 석탑리 산14
2018,4,28,13:52,토,2018,4,28,15:50,경북,경북,안동,일직,용각,산6-1외1개소,기,기타(직접입력),폐가 전기누전 추정,0.1,128.623318,36.4521528,경상북도 안동시 일직면 용각리 산6-1 외1개소
2017,3,19,12:45,일,2017,3,19,14:58,경북,경북,안동,북후,오산,산82,논,농산폐기물소각,,0.1,128.724746,36.6280982,경상북도 안동시 북후면 오산리 산82
2017,3,19,10:48,일,2017,3,19,14:07,경북,경북,안동,예안,인계,산129,건,주택화재비화,,0.1,128.942303,36.6904872,경상북도 안동시 예안면 인계리 산129
2017,1,26,15:30,목,2017,1,26,16:40,경북,경북,안동,도산,온혜,산15,기,기타(직접입력),원인미상,0.1,128.839708,36.7610863,경상북도 안동시 도산면 온혜리 산15
2016,3,3,13:55,목,2016,3,3,15:10,경북,경북,안동,신세,,산8-1,쓰,쓰레기소각,,0.1,128.738704,36.5696177,경상북도 안동시 신세동 산8-1
2015,10,23,18:28,금,2015,10,23,20:45,경북,경북,안동,도산,단천,산128-1,기,원인미상,,0.1,128.889818,36.7336955,경상북도 안동시 도산면 단천리 산128-1
2015,8,7,8:00,금,2015,8,7,9:00,경북,경북,안동,도산,동부,산111-1,입,등산객실화,,0.1,128.828358,36.698012,경상북도 안동시 도산면 동부리 산111-1
2015,6,10,11:40,수,2015,6,10,13:30,경북,경북,안동,임동,박곡,산78,논,밭두렁 소각,,0.1,128.919667,36.5346949,경상북도 안동시 임동면 박곡리 산78
2015,5,23,16:24,토,2015,5,23,17:30,경북,경북,안동,임직,평팔,542-2,논,농산폐기물 소각,,0.1,128.623071,36.4440196,경상북도 안동시 일직면 평팔리 542-2
2015,3,16,18:12,월,2015,3,16,20:48,경북,경북,안동,임동,사월,산58,논,농산폐기물 소각,,0.1,128.902514,36.6079053,경상북도 안동시 임동면 사월리 산58
