최고기온,온열질환자,풍속,상대습도
26.61428571,0,1.971428571,68.11428571
26.94285714,3,1.9,60.8
27.54285714,1,1.542857143,71.35714286
29.08571429,0,1.457142857,65.57142857
30.54285714,4,1.442857143,64.95714286
30.44285714,4,1.385714286,66.77142857
31.22857143,1,1.685714286,67.47142857
30.92857143,1,1.385714286,74.95714286
31.58571429,4,1.785714286,76.58571429
32.6,3,1.671428571,68.64285714
28.78571429,1,1.8,79.38571429
28.7,0,1.257142857,77.01428571
28.12857143,0,1.3,85.21428571
28.75714286,1,1.414285714,73.01428571
28.3,0,1.228571429,72.1
29.7,2,1.128571429,37.25714286
28.24285714,0,1.342857143,43.7
30.3,3,1.685714286,48.27142857
29.17142857,2,1.542857143,59.1
28.55714286,2,1.642857143,63.3
29.94285714,0,1.671428571,54.88571429
28.57142857,4,1.657142857,65.61428571
28.71428571,1,2.485714286,62.77142857
29.72857143,2,1.571428571,77.77142857
32.32857143,26,1.528571429,69.57142857
34.24285714,11,1.7,62.81428571
30.62857143,3,1.414285714,64.52857143
30.44285714,3,1.585714286,64.84285714
28.55714286,0,1.657142857,67.18571429
29.07142857,1,1.585714286,63.45714286
27.04285714,2,1.442857143,53.04285714
27.58571429,1,1.571428571,47.38571429
28.21428571,2,1.728571429,58.37142857
28.32857143,4,1.642857143,65.54285714
29.78571429,4,1.814285714,63.3
29.27142857,0,1.742857143,65.05714286
29.05714286,5,1.428571429,79.17142857
29.68571429,4,1.657142857,68.55714286
30.84285714,4,1.928571429,64.44285714
32.54285714,18,1.585714286,70.05714286
33.21428571,17,1.357142857,68.51428571
34.68571429,25,1.528571429,62.41428571
34.75714286,14,1.528571429,56.25714286
32.15714286,8,1.928571429,55.18571429
26.35714286,0,2.071428571,70.62857143
29.25714286,0,1.271428571,71.05714286
27.68571429,0,1.314285714,68.6
25.17142857,0,1.7,61.31428571
28.81428571,2,1.871428571,44.92857143
26.28571429,0,1.942857143,55.01428571
29.81428571,1,1.871428571,43.84285714
32.3,4,1.557142857,47.01428571
30.15714286,1,1.6,67.64285714
30.97142857,6,1.557142857,81.87142857
32,19,1.642857143,76.72857143
31.75714286,24,1.471428571,75.25714286
31.5,1,1.828571429,71.14285714
33,34,1.642857143,67.7
32.01428571,15,1.671428571,69.07142857
28.72857143,1,1.528571429,77.54285714
30.98571429,6,1.8,72.12857143
26.61428571,0,1.6,58.38571429
27.07142857,0,1.285714286,65.91428571
25.28571429,0,1.9,51.58571429
28.91428571,1,1.6,53.38571429
29.17142857,0,1.728571429,56.65714286
26.52857143,0,2.514285714,55.98571429
29.7,3,1.628571429,56.48571429
30.14285714,4,1.642857143,67.82857143
28.51428571,1,1.971428571,75.35714286
30.47142857,12,1.657142857,69.44285714
34.88571429,38,1.5,61.14285714
36.12857143,46,1.571428571,62.85714286
36.72857143,54,1.8,54.91428571
35.01428571,31,1.942857143,64.25714286
35.34285714,14,2.285714286,52.37142857
32.02857143,4,2.342857143,62.14285714
28.72857143,1,1.571428571,79.27142857
28.18571429,0,1.857142857,66.61428571
25.97142857,0,1.8,66.11428571
26.27142857,0,2.028571429,74.2
26.74285714,0,1.785714286,81.61428571
27.94285714,1,1.614285714,77.71428571
29.17142857,2,1.4,76.58571429
29.14285714,2,1.414285714,78.78571429
29.7,5,1.757142857,80.72857143
29.52857143,1,1.285714286,84.78571429
31.14285714,2,2.114285714,82.84285714
31.6,3,1.842857143,81.95714286
27.85714286,1,2.257142857,88.02857143
27.62857143,1,0.985714286,87.44285714
27.01428571,1,1.271428571,92.87142857
27.71428571,0,1.528571429,83.44285714
