발생일시_년,발생일시_월,발생일시_일,발생일시_시간,발생일시_요일,진화종료시간_년,진화종료시간_월,진화종료시간_일,진화종료시간_시간,발생장소_관서,발생장소_시도,발생장소_시군구,발생장소_읍면,발생장소_동리,발생장소_지번,발생원인_구분,발생원인_세부원인,발생원인_기타,피해면적_합계,X-좌표,Y-좌표,정제결과
2013,3,9,14:18,토,2013,3,9,18:10,울산,울산광역시,북구,시례동,,산116,성,성묘객실화,,33.2,129.334111,35.6025418,울산광역시 북구 시례동 산116
2018,8,15,12:30,수,2018,8,16,9:00,경북,경상북도,군위군,우보면,두북리,산2-2,논,농산폐기물소각,,31.9,128.657344,36.2200128,경상북도 군위군 우보면 두북리 산2-2
2005,4,28,12:20,목,2005,4,29,8:30,경북,경상북도,김천시,부항리,신옥리,산54,입,입산자실화추정,,31,127.996875,35.9684068,경상북도 김천시 부항면 신옥리 산54
2009,4,11,12:33,토,2009,4,11,15:03,경남,경상남도,창녕군,유어면,풍조리,산106,논,농산폐기물소각,,28.8,128.434933,35.5045526,경상남도 창녕군 유어면 풍조리 산106
2004,3,10,16:05,수,2004,3,10,18:00,동부,강원도,고성군,간성읍,금수리,산32-2,기,정신이상자실화,,28.51,128.464327,38.3675618,강원도 고성군 간성읍 금수리 산32-2
2018,12,28,20:43,금,2018,12,29,16:00,강원,강원도,삼척시,미로면,하정리,산57,건,기타(직접입력),,27,129.114897,37.3870522,강원도 삼척시 미로면 하정리 산57
2006,3,31,15:50,금,2006,4,1,6:55,전남,전라남도,영광군,묘량면,월암동,산210,논,논밭두렁소각,,26.9,126.583134,35.2522257,전라남도 영광군 묘량면 월암리 산210
2009,4,1,15:30,수,2009,4,1,18:00,전남,전라남도,곡성군,죽곡리,유봉리,산6외 40,입,입산자 실화,,26.74,127.356931,35.1656095,전라남도 곡성군 죽곡면 유봉리 산6 외 40
2008,11,19,13:20,수,2008,11,19,17:00,경북,경상북도,영덕군,축산리,경정리,산109-2,기,고압선 합선추정,,25.8,129.422573,36.4758292,경상북도 영덕군 축산면 경정리 산109-2
2011,1,30,12:49,일,2011,1,31,11:00,전남,전라남도,구례군,토지면,파도리,산74-2,입,입산자실화,,25,127.552449,35.1994442,전라남도 구례군 토지면 파도리 산74-2
2009,4,12,15:00,일,2009,4,13,8:25,경남,경상남도,함양군,함양리,신천동,산12-1,기,방화추정,,25,127.731106,35.5454091,경상남도 함양군 함양읍 신천리 산12-1
2009,4,10,13:45,금,2009,4,10,17:50,강원,강원도,홍천군,북방면,성동구,산180,입,입산자실화추정,,25,127.854021,37.7400922,강원도 홍천군 북방면 성동리 산180
2017,6,4,12:07,일,2017,6,5,8:15,경북,경상북도,성주군,선남면,도흥리,산76,쓰,쓰레기소각,,24.18,128.370165,35.9144717,경상북도 성주군 선남면 도흥리 산76
2005,4,27,11:25,수,2005,4,29,12:45,충북,충청북도,영동군,양산동,가선리,산4,입,입산자실화추정,,24,127.612362,36.1417858,충청북도 영동군 양산면 가선리 산4
2011,4,1,14:30,금,2011,4,1,17:30,경남,경상남도,김해시,상동리,우계리,산215-1,입,입산자실화,,22.3,128.888218,35.3109636,경상남도 김해시 상동면 우계리 산215-1
2009,4,6,13:10,월,2009,4,7,8:20,경북,경상북도,구미시,산동리,백현동,산56 외,입,입산자실화,,21.5,128.46666,36.2063254,경상북도 구미시 산동면 백현리 산56 외
2019,1,1,16:12,화,2019,1,2,17:20,강원,강원도,양양군,서구,송천리,산31-1,기,기타(직접입력),원인미상(조사중),20,128.562238,38.0465464,강원도 양양군 서면 송천리 산31-1
2009,4,7,15:15,화,2009,4,8,9:30,전북,전라북도,임실군,삼계리,산수동,산20,쓰,쓰레기소각,,20,127.289091,35.4807489,전라북도 임실군 삼계면 산수리 산20
2009,1,10,21:40,토,2009,1,11,9:10,울산,울산광역시,동구,,용산구,산191-2,기,방화추정,,20,129.434115,35.5425012,울산광역시 동구 동부동 산191-2
2008,4,6,14:00,일,2008,4,6,18:30,전남,전라남도,화순군,도암리,대초리,산115,입,입산자실화,,20,126.882987,34.9257947,전라남도 화순군 도암면 대초리 산115
2004,2,14,13:31,토,2004,2,15,9:20,경남,경상남도,양산시,상북면,대석리,,입,입산자실화추정,,19,129.067121,35.3968903,경상남도 양산시 상북면 대석리 산54-1
2017,12,12,23:53,화,2017,12,13,15:00,울산,울산광역시,북구,상안동,,산107,건,기타(직접입력),농막화재 비화,18,129.325018,35.6078085,울산광역시 북구 상안동 산107
2010,4,4,14:15,일,2010,4,4,17:20,강원,강원도,철원군,김화읍,학사리,산100-5,쓰,쓰레기소각(군부대),,18,127.409522,38.2603624,강원도 철원군 김화읍 학사리 산100-5
2018,1,14,19:53,일,2018,1,15,5:30,강원,강원도,양양군,양양군,화일리,산207외14필,건,주택화재비화,,17.73,128.551865,38.1039677,강원도 양양군 양양읍 화일리 산207 외14필
2005,4,28,17:25,목,2005,4,29,16:10,강원,강원도,태백시,동점동,,산17-5,기,고압선 낙뢰,,16.4,129.050997,37.0758675,강원도 태백시 동점동 산17-5
2018,4,3,13:45,화,2018,4,3,22:30,경북,경상북도,고령군,개진면,구곡리,산154외16필,쓰,쓰레기소각,,16.1,128.376306,35.7145032,경상북도 고령군 개진면 구곡리 산154 외16필
2019,3,27,17:31,수,2019,3,28,13:40,경북,경상북도,구미시,고아읍,대망리,산27,논,농산폐기물소각,,15,128.323482,36.1911059,경상북도 구미시 고아읍 대망리 산27
2013,3,9,15:41,토,2013,3,10,10:10,경북,경상북도,봉화군,재산리,상동,산135,담,선택,,15,128.940187,36.8433793,경상북도 봉화군 재산면 상리 산135
2009,5,9,12:35,토,2009,5,9,18:35,경북,경상북도,경주시,,고원리,산91-1,성,성묘객실화(유품),,15,129.172034,35.8268547,경상북도 경주시 효현동 산91-1
2005,4,4,23:58,월,2005,4,5,8:30,충남,충청남도,서산시,해미면,대곡동,산48-1,입,입산자실화추정,,15,126.593366,36.6952122,충청남도 서산시 해미면 대곡리 산48-1
2004,2,14,12:25,토,2004,2,14,18:00,울산,울산광역시,북구,연암동,,산40-1,입,입산자실화추정,,15,129.381043,35.585369,울산광역시 북구 연암동 산40-1
2016,4,1,12:45,금,2016,4,1,20:20,강원,강원도,양구군,남구,송우리,산46외 20필지,입,기타(직접입력),입산자 실화추정,14.4,128.01699,38.102206,강원도 양구군 남면 송우리 산46 외 20필지
2014,4,24,15:19,목,2014,4,24,22:30,경북,경상북도,영주시,이산리,지동리,산177,기,육묘장 전기누전,,14.3,128.712797,36.8484571,경상북도 영주시 이산면 지동리 산177
2013,5,8,23:00,수,2013,5,9,8:55,남부,경상북도,영덕군,남정리,사암리,산62-3,입,기타(직접입력),,13.8,129.3155,36.3382539,경상북도 영덕군 남정면 사암리 산62-3
2009,3,17,16:00,화,2009,3,17,18:30,강원,강원도,고성군,토성리,원암리,산1번지외,기,차량화재비화,,13.63,128.452832,38.2093961,강원도 고성군 토성면 원암리 산1 외
2018,4,19,19:30,목,2018,4,20,7:00,동부,강원도,양양군,현남면,정자동,산58-1,기,기타(직접입력),원인미상(조사중),13.08,128.710047,37.9639477,강원도 양양군 현남면 정자리 산58-1
2018,2,10,7:20,토,2018,2,10,15:25,경북,경상북도,영덕군,창수면,인량리,산28-1,기,기타(직접입력),원인미상,13,129.359045,36.5637619,경상북도 영덕군 창수면 인량리 산28-1
2016,5,22,11:55,일,2016,5,23,4:00,중부,충청북도,단양군,영춘면,사지원리,산10-2,입,산나물채취객실화,,13,128.461993,37.1014978,충청북도 단양군 영춘면 사지원리 산10-2
2006,3,25,12:45,토,2006,3,25,17:30,충남,충청남도,계룡시,두마면,왕대리,산26-3,담,담뱃불실화추정,,13,127.275795,36.2494609,충청남도 계룡시 두마면 왕대리 산26-3
2006,3,26,1:00,일,2006,3,26,11:00,경북,경상북도,울진군,서구,왕피리,산93-1,입,입산자실화,,12.5,129.275344,36.8981679,경상북도 울진군 금강송면 왕피리 산93-1
