순번,입력타입,입력주소,정제결과,전환결과,우편번호,X-좌표,Y-좌표,사용자필드
156,지번,"울산	울주	청량	삼정	산95",울산광역시 울주군 청량읍 삼정리 산95,,44961,129.252206,35.4953773,
157,지번,"경남	양산	평산		산109",경상남도 합천군 용주면 평산리 산109,,50214,128.123509,35.5329241,
158,지번,"충남	홍성	갈산	신안	산42",충청남도 홍성군 갈산면 신안리 산42,,32201,126.57184,36.6201451,
159,지번,"경남	고성	동해	내곡	산93-2",경상남도 고성군 동해면 내곡리 산93-2,,52918,128.393461,35.0344607,
160,지번,"경북	안동	풍천	인금	산169",경상북도 안동시 풍천면 인금리 산169,,36758,128.535852,36.5189426,
161,지번,"울산	북		염포	산115",울산광역시 북구 염포동 산115,,44262,129.397874,35.5327392,
162,지번,"경북	군위	부계	춘산	산121-1외",경상북도 군위군 부계면 춘산리 산121-1 외,,39064,128.661015,36.0718859,
163,지번,"경북	성주	초전	용봉	산107",경상북도 성주군 초전면 용봉리 산107,,40008,128.261591,36.0233856,
164,지번,"전북	군산	나포	옥곤	산50외10필",전라북도 군산시 나포면 옥곤리 산50 외10필,,54048,126.843018,36.0322818,
165,지번,"부산	기장	장안	덕산	산258외1",부산광역시 기장군 장안읍 덕선리 산258,,46029,129.235379,35.3346747,
166,지번,"대전	동		낭월동	산2-1",대전광역시 동구 낭월동 산2-1,,34703,127.490959,36.2903723,
167,지번,"경북	경주	천북	화산	산117-6",경상북도 경주시 천북면 화산리 산117-6,,38034,129.292574,35.9301076,
168,지번,"강원	삼척	도계	흥전	산92-1",강원도 삼척시 도계읍 흥전리 산92-1,"강원도 삼척시 도계읍 흥전서길 214, (흥전리)",25951,129.018835,37.2137526,
169,지번,"충북	영동	양강	남전	산14-20",충청북도 영동군 양강면 남전리 산14-20,,29155,127.774509,36.1258622,
170,지번,"경남	마산	내서	상곡	산44",경상남도 창원시 마산회원구 내서읍 상곡리 산44,,51218,128.494552,35.2546602,
171,지번,"경남	통영	광도	황	산443",경상남도 통영시 광도면 황리 산444,,53005,128.405686,34.9669127,
172,지번,"전북	익산	성당	두동	산189",전라북도 익산시 성당면 두동리 산189,,54504,126.921029,36.109747,
173,지번,"전북	임실	지사	안하	산22",전라북도 임실군 지사면 안하리 산22,,55920,127.344748,35.5996731,
174,지번,"경북	예천	예천	생천	산23",경상북도 예천군 예천읍 생천리 산23,,36816,128.452504,36.6846353,
175,지번,"경북	영양	청기	정족	산1",경상북도 영양군 청기면 정족리 산1,,36506,129.067817,36.702321,
176,지번,"경북	영덕	지품	도계1	산5",경상북도 영덕군 지품면 도계리 1 산5,,36444,129.291613,36.5013988,
177,지번,"강원	평창	방림	계촌	산1",강원도 평창군 방림면 계촌리 산1,"강원도 평창군 방림면 감동지길 162-17, (계촌리)",25364,128.308723,37.5055059,
178,지번,"울산	북	가대		산91-1",울산광역시 북구 가대동 산91-1,,44211,129.30719,35.6040423,
179,지번,"경기	양평	지제	옥현	산28",경기도 양평군 지평면 옥현리 산28,,12544,127.642533,37.4439855,
180,지번,"경북	칠곡	동명	가천	64",경상북도 칠곡군 동명면 가천리 64,,39854,128.54664,36.0052456,
181,지번,"전남	진도	지산	가치	산80",전라남도 진도군 지산면 가치리 산80,,58952,126.124782,34.4227163,
182,지번,"대구	동	동내		산2",전라남도 순천시 낙안면 동내리 산2,,57917,127.366364,34.9152001,
183,지번,"인천	강화	하점		산10",인천광역시 강화군 하점면 신봉리 산10-1,,23015,126.416587,37.7751598,
184,지번,"경기	양평	서종	수입	산23-5",경기도 양평군 서종면 수입리 산23-5,,12500,127.401109,37.6383107,
185,지번,"충남	금산	제원	신안	산8-9",충청남도 금산군 제원면 신안리 산8-9,,32719,127.568827,36.1690897,
186,지번,"대전	동	신촌		산6-32",충청남도 당진시 합덕읍 합덕리 산6-32,,31813,126.788929,36.7976828,
187,지번,"강원	홍천	내촌	와야	산12-2",강원도 홍천군 내촌면 와야리 산12-2,,25162,128.167689,37.814839,
