DSRC 링크정보,표준노드링크 정보,구간명,시작지점명,도착지점명,거리,가로명,링크속도,링크통행시간,소통정보코드,정보생성일시
20190909125500,1443.9,383,만평네거리,24,214,팔달로칠곡로,02,원대오거리-만평네거리,원대오거리,1540030300
20190909125500,1443.9,383,만평네거리,24,214,팔달로칠곡로,02,원대오거리-만평네거리,원대오거리,1540031300
20190909125500,1443.9,383,만평네거리,24,214,팔달로칠곡로,02,원대오거리-만평네거리,원대오거리,1540032100
20190909125500,1443.9,383,만평네거리,24,214,팔달로칠곡로,02,원대오거리-만평네거리,원대오거리,1540033100
20190909125500,1443.9,383,만평네거리,24,214,팔달로칠곡로,02,원대오거리-만평네거리,원대오거리,1540034500
20190909125500,1625.06,384,평리네거리,23,254,두류공원로서대구로,02,만평네거리-평리네거리,만평네거리,1520003000
20190909125500,1625.06,384,평리네거리,23,254,두류공원로서대구로,02,만평네거리-평리네거리,만평네거리,1520003200
20190909125500,1625.06,384,평리네거리,23,254,두류공원로서대구로,02,만평네거리-평리네거리,만평네거리,1520003300
20190909125500,1625.06,384,평리네거리,23,254,두류공원로서대구로,02,만평네거리-평리네거리,만평네거리,1520003801
20190909125500,1625.06,384,평리네거리,23,254,두류공원로서대구로,02,만평네거리-평리네거리,만평네거리,1520003802
20190909125500,1625.06,384,평리네거리,23,254,두류공원로서대구로,02,만평네거리-평리네거리,만평네거리,1520004200
20190909125500,831.28,389,남평리네거리,16,235,두류공원로서대구로,02,두류네거리(북)-남평리네거리,두류네거리(북),1520000501
20190909125500,831.28,389,남평리네거리,16,235,두류공원로서대구로,02,두류네거리(북)-남평리네거리,두류네거리(북),1520000502
20190909125500,839.29,390,두류네거리(북),17,175,두류공원로서대구로,02,남평리네거리-두류네거리(북),남평리네거리,1520000601
20190909125500,839.29,390,두류네거리(북),17,175,두류공원로서대구로,02,남평리네거리-두류네거리(북),남평리네거리,1520000602
20190909125500,2197.36,391,죽전네거리,21,375,달구벌대로,02,두류네거리(북)-죽전네거리,두류네거리(북),1520000200
20190909125500,2197.36,391,죽전네거리,21,375,달구벌대로,02,두류네거리(북)-죽전네거리,두류네거리(북),1560005001
20190909125500,2197.36,391,죽전네거리,21,375,달구벌대로,02,두류네거리(북)-죽전네거리,두류네거리(북),1560008200
20190909125500,2217.37,392,두류네거리(북),30,256,달구벌대로,01,죽전네거리-두류네거리(북),죽전네거리,1520000100
20190909125500,2217.37,392,두류네거리(북),30,256,달구벌대로,01,죽전네거리-두류네거리(북),죽전네거리,1560004901
20190909125500,2217.37,392,두류네거리(북),30,256,달구벌대로,01,죽전네거리-두류네거리(북),죽전네거리,1560008100
20190909125500,1290.95,394,월성네거리,24,188,월곡로,02,상인네거리(고가)-월성네거리,상인네거리(고가),1560018100
20190909125500,1290.95,394,월성네거리,24,188,월곡로,02,상인네거리(고가)-월성네거리,상인네거리(고가),1560019300
20190909125500,1290.95,394,월성네거리,24,188,월곡로,02,상인네거리(고가)-월성네거리,상인네거리(고가),1560019301
20190909125500,1290.95,394,월성네거리,24,188,월곡로,02,상인네거리(고가)-월성네거리,상인네거리(고가),1560019302
20190909125500,1290.95,394,월성네거리,24,188,월곡로,02,상인네거리(고가)-월성네거리,상인네거리(고가),1560020500
